#Wj xj yj
1.968037276639219e-60 0.28885037566666666 1.75
1.9765964232593551e-60 0.3610629693333333 1.875
1.964768569828883e-60 0.28885037566666666 2.0
1.9763195611854424e-60 0.3610629693333333 2.125
1.9649565812151908e-60 0.28885037566666666 2.25
1.9761978308206347e-60 0.3610629693333333 2.375
1.9647142855630865e-60 0.28885037566666666 2.5
1.976809496589809e-60 0.3610629693333333 2.625
1.9648603372598403e-60 0.28885037566666666 2.75
1.9762230107203138e-60 0.3610629693333333 2.875
1.9646980780347166e-60 0.28885037566666666 3.0
1.9767423453285186e-60 0.3610629693333333 3.125
1.9674988484060162e-60 0.28885037566666666 3.25
1.981072342001922e-60 0.3610629693333333 3.375
1.9791711597066177e-60 0.28885037566666666 3.5
1.9996155144464454e-60 0.3610629693333333 3.625
2.0086063651566242e-60 0.28885037566666666 3.75
2.0406281842911555e-60 0.3610629693333333 3.875
2.0589993925226857e-60 0.28885037566666666 4.0
2.1100689145059317e-60 0.3610629693333333 4.125
2.142507506338515e-60 0.28885037566666666 4.25
2.2232454419063446e-60 0.3610629693333333 4.375
2.2719859528178403e-60 0.28885037566666666 4.5
2.3949198268713133e-60 0.3610629693333333 4.625
2.4585110807240247e-60 0.28885037566666666 4.75
2.615318838029972e-60 0.3610629693333333 4.875
2.6206301321786017e-60 0.28885037566666666 4.958333333333333
3.015028823415183e-60 0.577700751 0.041666666666666664
2.823268383285829e-60 0.5054881569999999 0.125
2.712094470154151e-60 0.577700751 0.25
2.501359686752292e-60 0.5054881569999999 0.375
2.4212528295445036e-60 0.577700751 0.5
2.289039478542039e-60 0.5054881569999999 0.625
2.240819773842833e-60 0.577700751 0.75
2.155351689785899e-60 0.5054881569999999 0.875
2.1326733124809158e-60 0.577700751 1.0
2.0757217635510276e-60 0.5054881569999999 1.125
2.071472362734661e-60 0.577700751 1.25
2.031834714811613e-60 0.5054881569999999 1.375
2.0448987643794957e-60 0.577700751 1.5
2.0152668374989095e-60 0.5054881569999999 1.625
2.0411640570458914e-60 0.577700751 1.75
2.0131116305071971e-60 0.5054881569999999 1.875
2.0407636019781922e-60 0.577700751 2.0
2.013248993926983e-60 0.5054881569999999 2.125
2.040539776946232e-60 0.577700751 2.25
2.012885327608511e-60 0.5054881569999999 2.375
2.0390457058614532e-60 0.577700751 2.5
2.01268533471409e-60 0.5054881569999999 2.625
2.0404739095090386e-60 0.577700751 2.75
2.013111639969456e-60 0.5054881569999999 2.875
2.040687160297638e-60 0.577700751 3.0
2.0132636843423525e-60 0.5054881569999999 3.125
2.040901328544701e-60 0.577700751 3.25
2.0144676194442826e-60 0.5054881569999999 3.375
2.0436943239015118e-60 0.577700751 3.5
2.029365498975394e-60 0.5054881569999999 3.625
2.067988256556658e-60 0.577700751 3.75
2.0708526316253596e-60 0.5054881569999999 3.875
2.1259281265039205e-60 0.577700751 4.0
2.1468307130938804e-60 0.5054881569999999 4.125
2.2292810117660243e-60 0.577700751 4.25
2.275572345113273e-60 0.5054881569999999 4.375
2.4033589153616487e-60 0.577700751 4.5
2.481777328125521e-60 0.5054881569999999 4.625
2.6854183152674347e-60 0.577700751 4.75
2.795239804214452e-60 0.5054881569999999 4.875
3.000853842194572e-60 0.577700751 4.958333333333333
3.0870553048786266e-60 0.7221259386666666 0.041666666666666664
3.103038035319195e-60 0.7943385323333333 0.125
2.832786005418116e-60 0.7221259386666666 0.25
2.7232766711785335e-60 0.7943385323333333 0.375
2.5139323729233626e-60 0.7221259386666666 0.5
2.4487419514809012e-60 0.7943385323333333 0.625
2.311872664750712e-60 0.7221259386666666 0.75
2.28812580166095e-60 0.7943385323333333 0.875
2.195779978609483e-60 0.7221259386666666 1.0
2.2015608158563217e-60 0.7943385323333333 1.125
2.1352685713488747e-60 0.7221259386666666 1.25
2.1660726297779894e-60 0.7943385323333333 1.375
2.1146238668917884e-60 0.7221259386666666 1.5
2.1631570648327373e-60 0.7943385323333333 1.625
2.114854688791577e-60 0.7221259386666666 1.75
2.1626972117053218e-60 0.7943385323333333 1.875
2.1145124917889085e-60 0.7221259386666666 2.0
